,Close,High,Low,Money,Open,Time,Turnover_ratio,Volume
0,2.1,2.1,2.1,0.0,2.1,2005-05-30,,0.0
1,3.03,3.03,3.03,0.0,3.03,2006-05-29,,0.0
2,3.03,3.03,3.03,0.0,3.03,2006-05-30,,0.0
3,3.03,3.03,3.03,0.0,3.03,2006-05-31,,0.0
4,3.03,3.03,3.03,0.0,3.03,2006-06-01,,0.0
5,3.03,3.03,3.03,0.0,3.03,2006-06-02,,0.0
6,3.03,3.03,3.03,0.0,3.03,2006-06-05,,0.0
7,3.03,3.03,3.03,0.0,3.03,2006-06-06,,0.0
8,3.03,3.03,3.03,0.0,3.03,2006-06-07,,0.0
9,3.03,3.03,3.03,0.0,3.03,2006-06-08,,0.0
10,3.03,3.03,3.03,0.0,3.03,2006-06-09,,0.0
11,2.99,2.99,2.99,0.0,2.99,2006-06-19,,0.0
12,2.99,2.99,2.99,0.0,2.99,2006-06-20,,0.0
13,2.99,2.99,2.99,0.0,2.99,2006-06-21,,0.0
14,2.99,2.99,2.99,0.0,2.99,2006-06-22,,0.0
15,2.99,2.99,2.99,0.0,2.99,2006-06-23,,0.0
16,2.99,2.99,2.99,0.0,2.99,2006-06-26,,0.0
17,2.99,2.99,2.99,0.0,2.99,2006-06-27,,0.0
18,2.99,2.99,2.99,0.0,2.99,2006-06-28,,0.0
19,2.99,2.99,2.99,0.0,2.99,2006-06-29,,0.0
20,2.99,2.99,2.99,0.0,2.99,2006-06-30,,0.0
21,2.99,2.99,2.99,0.0,2.99,2006-07-03,,0.0
22,2.99,2.99,2.99,0.0,2.99,2006-07-04,,0.0
23,2.99,2.99,2.99,0.0,2.99,2006-07-05,,0.0
24,2.99,2.99,2.99,0.0,2.99,2006-07-06,,0.0
25,2.99,2.99,2.99,0.0,2.99,2006-07-07,,0.0
26,2.99,2.99,2.99,0.0,2.99,2006-07-10,,0.0
27,2.99,2.99,2.99,0.0,2.99,2006-07-11,,0.0
28,2.99,2.99,2.99,0.0,2.99,2006-07-12,,0.0
29,2.99,2.99,2.99,0.0,2.99,2006-07-13,,0.0
30,2.99,2.99,2.99,0.0,2.99,2006-07-14,,0.0
31,2.99,2.99,2.99,0.0,2.99,2006-07-17,,0.0
32,2.99,2.99,2.99,0.0,2.99,2006-07-18,,0.0
33,2.99,2.99,2.99,0.0,2.99,2006-07-19,,0.0
34,8.39,8.39,8.39,0.0,8.39,2007-04-27,,0.0
35,7.84,7.84,7.84,0.0,7.84,2008-05-16,,0.0
36,4.3,4.3,4.3,0.0,4.3,2009-01-15,,0.0
37,6.58,6.58,6.58,0.0,6.58,2009-06-25,,0.0
38,11.72,11.72,11.72,0.0,11.72,2010-05-20,,0.0
39,18.46,18.46,18.46,0.0,18.46,2011-05-13,,0.0
40,13.98,13.98,13.98,0.0,13.98,2012-05-16,,0.0
